topic,title,aliases,category,game
z_38_lightwave_dynamics_research,Z-38 Lightwave Dynamics Research,,location,Fallout New Vegas
y_17_medical_facility,Y-17 Medical Facility,,location,Fallout New Vegas
x_17_meteorological_station,X-17 Meteorological Station,,location,Fallout New Vegas
z_9_crotalus_dna_preservation_lab,Z-9 Crotalus DNA Preservation Lab,,location,Fallout New Vegas
saturnite_alloy_research_facility,Saturnite Alloy Research Facility,,location,Fallout New Vegas
securitron_de_construction_plant,Securitron De-Construction Plant,,location,Fallout New Vegas
z_43_innovative_toxins_plant,Z-43 Innovative Toxins Plant,,location,Fallout New Vegas
x_7a_left_field_artillery_launch,"X-7a ""Left Field"" Artillery Launch",,location,Fallout New Vegas
x_7b_boom_town_target_zone,"X-7b ""Boom Town"" Target Zone",,location,Fallout New Vegas
z_14_pepsinae_dna_splicing_lab,Z-14 Pepsinae DNA Splicing Lab,,location,Fallout New Vegas
dry_wells,Dry Wells,,location,Fallout New Vegas
long_15,Long 15,,location,Fallout New Vegas
hopeville,Hopeville,,location,Fallout New Vegas
the_courier_s_mile,The Courier's Mile,,location,Fallout New Vegas
canyon_wreckage,Canyon Wreckage,,location,Fallout New Vegas
hopeville_missile_silo_bunker,Hopeville Missile Silo Bunker,,location,Fallout New Vegas
ashton_missile_silo,Ashton Missile Silo,,location,Fallout New Vegas
ulysses_temple,Ulysses' Temple,,location,Fallout New Vegas
high_road,High Road,,location,Fallout New Vegas
high_road_entrance,High Road Entrance,,location,Fallout New Vegas
cave_of_the_abaddon,Cave of the Abaddon,,location,Fallout New Vegas
hopeville_missile_base,Hopeville Missile Base,,location,Fallout New Vegas
collapsed_overpass_tunnel_entrance,Collapsed Overpass Tunnel Entrance,,location,Fallout New Vegas
sunstone_tower_roof,Sunstone Tower Roof,,location,Fallout New Vegas
outcast_outpost,Outcast Outpost,,location,Fallout 3
alaska,Alaska,,location,Fallout 3
anchorage,Anchorage,,location,Fallout 3
us_army_field_headquarters,US Army Field Headquarters,,location,Fallout 3
bailey_s_crossroads_metro,Bailey's Crossroads Metro,,location,Fallout 3
bailey_s_crossroads,Bailey's Crossroads,,location,Fallout 3
anchorage_reclamation_simulation,Anchorage Reclamation Simulation,,location,Fallout 3
listening_post,Listening Post,,location,Fallout 3
chimera_armor_depot,Chimera Armor Depot,,location,Fallout 3
artillery_overlook,Artillery Overlook,,location,Fallout 3
the_pitt_bridge,The Pitt Bridge,,location,Fallout 3
pennsylvania,Pennsylvania,,location,Fallout 3
pitt_steelyard,Pitt Steelyard,,location,Fallout 3
haven,Haven,,location,Fallout 3
the_hole,The Hole (The Pitt),,location,Fallout 3
the_mill,The Mill,,location,Fallout 3
supply_plant,Supply Plant,,location,Fallout 3
the_pitt_downtown,The Pitt Downtown,,location,Fallout 3
the_pitt_underground,The Pitt Underground,,location,Fallout 3
abandoned_apartments,Abandoned Apartments,,location,Fallout 3
mobile_base_crawler,Mobile Base Crawler,,location,Fallout 3
old_olney_underground,Old Olney Underground,,location,Fallout 3
olney_powerworks,Olney Powerworks,,location,Fallout 3
presidential_metro,Presidential Metro,,location,Fallout 3
satellite_relay_station,Satellite Relay Station,,location,Fallout 3
rockland_car_tunnel,Rockland Car Tunnel,,location,Fallout 3
museum_authority_building,Museum Authority Building,,location,Fallout 3
old_olney_s_wilson_building,Old Olney S. Wilson Building,,location,Fallout 3
turtledove_detention_camp,Turtledove Detention Camp,,location,Fallout 3
maryland,Maryland,,location,Fallout 3
point_lookout_location,Point Lookout (location),,location,Fallout 3
calvert_mansion,Calvert Mansion,,location,Fallout 3
point_lookout_lighthouse,Point Lookout Lighthouse,,location,Fallout 3
sub_recovery_site,Sub Recovery Site,,location,Fallout 3
herzog_mine,Herzog Mine,,location,Fallout 3
st_aubin_medical_facility,St. Aubin Medical Facility,,location,Fallout 3
ark_and_dove_cathedral,Ark & Dove Cathedral,,location,Fallout 3
pilgrim_s_landing,Pilgrim's Landing,,location,Fallout 3
waste_disposal,Waste Disposal,,location,Fallout 3
engineering_core,Engineering Core,,location,Fallout 3
cryo_lab,Cryo Lab,,location,Fallout 3
maintenance_level,Maintenance Level,,location,Fallout 3
crashed_anomaly,Crashed Anomaly,,location,Fallout 3
weapons_lab,Weapons Lab,,location,Fallout 3
raven_rock,Raven Rock,,location,Fallout 3
washington_d_c,"Washington, D.C.",,location,Fallout 3
museum_of_technology,Museum of Technology,,location,Fallout 3
minefield,Minefield,,location,Fallout 3
evergreen_mills,Evergreen Mills,,location,Fallout 3
national_guard_depot,National Guard Depot,,location,Fallout 3
fort_bannister,Fort Bannister,,location,Fallout 3
old_olney,Old Olney,,location,Fallout 3
enclave_camp,Enclave Camp,,location,Fallout 3
the_capitol_building,The Capitol Building,,location,Fallout 3
national_archives,National Archives,,location,Fallout 3
springvale_school,Springvale School,,location,Fallout 3
germantown_police_hq,Germantown Police HQ,,location,Fallout 3
arlington_library,Arlington Library,,location,Fallout 3
fort_constantine,Fort Constantine,,location,Fallout 3
nuka_cola_plant,Nuka-Cola Plant (Fallout 3),,location,Fallout 3
museum_of_history,Museum of History,,location,Fallout 3
mcclellan_family_townhome,McClellan Family Townhome,,location,Fallout 3
super_duper_mart,Super-Duper Mart (Fallout 3),,location,Fallout 3
red_racer_factory,Red Racer Factory,,location,Fallout 3
hubris_comics,Hubris Comics (Fallout 3),,location,Fallout 3
monorail,Monorail (Fallout 3),,location,Fallout 3
satcom_array_nn_03d,SatCom Array NN-03d,,location,Fallout 3
vault_tec_headquarters,Vault-Tec Headquarters (Fallout 3),,location,Fallout 3
fort_independence,Fort Independence,,location,Fallout 3
lincoln_memorial,Lincoln Memorial,,location,Fallout 3
temple_of_the_union,Temple of the Union,,location,Fallout 3
andale,Andale,,location,Fallout 3
roosevelt_academy,Roosevelt Academy,,location,Fallout 3
tranquility_lane_simulation,Tranquility Lane Simulation,,location,Fallout 3
gnr_building_plaza,GNR Building Plaza (Fallout 3),,location,Fallout 3
springvale,Springvale,,location,Fallout 3
white_house,White House,,location,Fallout 3
pennsylvania_avenue,Pennsylvania Avenue,,location,Fallout 3
takoma_park,Takoma Park,,location,Fallout 3
marigold_station,Marigold Station,,location,Fallout 3
moriarty_s_saloon,Moriarty's Saloon,,location,Fallout 3
fairfax_ruins,Fairfax Ruins,,location,Fallout 3
tenpenny_tower_suite,Tenpenny Tower Suite,,location,Fallout 3
satcom_array_nw_07c,SatCom Array NW-07c,,location,Fallout 3
antagonizer_s_lair,AntAgonizer's Lair,,location,Fallout 3
seward_square,Seward Square,,location,Fallout 3
rivet_city_bow,Rivet City Bow,,location,Fallout 3
wheaton_armory,Wheaton Armory,,location,Fallout 3
georgetown,Georgetown,,location,Fallout 3
jury_street_metro_station,Jury Street Metro Station,,location,Fallout 3
scrapyard,Scrapyard,,location,Fallout 3
arlington_house,Arlington House,,location,Fallout 3
takoma_industrial,Takoma Industrial,,location,Fallout 3
vernon_square,Vernon Square,,location,Fallout 3
tepid_sewers,Tepid Sewers,,location,Fallout 3
satcom_array_nw_05a,SatCom Array NW-05a,,location,Fallout 3
broadcast_tower_kb5,Broadcast Tower KB5,,location,Fallout 3
craterside_supply,Craterside Supply,,location,Fallout 3
saint_monica_s_church,Saint Monica's Church,,location,Fallout 3
gold_ribbon_grocers,Gold Ribbon Grocers,,location,Fallout 3
flak_n_shrapnel_s,Flak 'N Shrapnel's,,location,Fallout 3
capitol_preservation_society,Capitol Preservation Society,,location,Fallout 3
wilhelm_s_wharf,Wilhelm's Wharf,,location,Fallout 3
grayditch,Grayditch,,location,Fallout 3
regulator_hq,Regulator HQ,,location,Fallout 3
a_quick_fix,A Quick Fix,,location,Fallout 3
drainage_chamber,Drainage Chamber,,location,Fallout 3
rock_creek_caverns,Rock Creek Caverns,,location,Fallout 3
girdershade,Girdershade,,location,Fallout 3
mdpl_mass_relay_station,MDPL Mass Relay Station,,location,Fallout 3
chevy_chase,Chevy Chase,,location,Fallout 3
farragut_west_station,Farragut West Station,,location,Fallout 3
la_maison_beauregard,La Maison Beauregard,,location,Fallout 3
dukov_s_place,Dukov's Place,,location,Fallout 3
ranger_compound,Ranger Compound,,location,Fallout 3
arlington_national_cemetery,Arlington National Cemetery,,location,Fallout 3
meresti_metro_station,Meresti Metro Station,,location,Fallout 3
flooded_metro_exterior,Flooded Metro (Exterior),,location,Fallout 3
franklin_station,Franklin Station,,location,Fallout 3
l_enfant,L'Enfant,,location,Fallout 3
smith_casey_s_garage,Smith Casey's Garage,,location,Fallout 3
ffencounterworld,FFEncounterWorld,,location,Fallout 3
murder_pass,Murder Pass,,location,Fallout 3
dupont_circle,Dupont Circle,,location,Fallout 3
friendship_station,Friendship Station,,location,Fallout 3
abandoned_residence,Abandoned Residence,,location,Fallout 3
utility,Utility,,location,Fallout 3
rivet_city_science_lab,Rivet City Science Lab,,location,Fallout 3
franklin_metro_utility,Franklin Metro Utility,,location,Fallout 3
alexandria_arms,Alexandria Arms,,location,Fallout 3
kaelyn_s_bed_and_breakfast,Kaelyn's Bed & Breakfast,,location,Fallout 3
rivet_city_market,Rivet City Market,,location,Fallout 3
hallowed_moors_cemetery,Hallowed Moors Cemetery,,location,Fallout 3
grisly_diner,Grisly Diner,,location,Fallout 3
dupont_circle_station,Dupont Circle Station,,location,Fallout 3
rockbreaker_s_last_gas,Rockbreaker's Last Gas,,location,Fallout 3
montgomery_county_reservoir,Montgomery County Reservoir,,location,Fallout 3
relay_tower_kx_b8_11,Relay Tower KX-B8-11,,location,Fallout 3
farragut_west_metro_station,Farragut West Metro Station,,location,Fallout 3
bethesda_underworks,Bethesda Underworks,,location,Fallout 3
tenleytown_station,Tenleytown Station,,location,Fallout 3
raider_outpost,Raider Outpost,,location,Fallout 3
dry_sewers,Dry Sewers,,location,Fallout 3
lock_and_load,Lock and Load,,location,Fallout 3
museum_of_dave,Museum of Dave,,location,Fallout 3
agatha_s_house,Agatha's House,,location,Fallout 3
the_chop_shop,The Chop Shop,,location,Fallout 3
sewer_waystation,Sewer Waystation,,location,Fallout 3
jury_st_tunnels,Jury St. Tunnels,,location,Fallout 3
warrington_station,Warrington Station,,location,Fallout 3
weatherly_hotel,Weatherly Hotel,,location,Fallout 3
potomac_attire,Potomac Attire,,location,Fallout 3
the_brass_lantern,The Brass Lantern,,location,Fallout 3
abandoned_car_fort,Abandoned Car Fort,,location,Fallout 3
common_house_megaton,Common House (Megaton),,location,Fallout 3
museum_station,Museum Station,,location,Fallout 3
bridge_tower,Bridge Tower,,location,Fallout 3
eulogy_s_pad,Eulogy's Pad,,location,Fallout 3
metro_access_and_generator,Metro Access & Generator,,location,Fallout 3
vapl_58_power_station,VAPL-58 Power Station,,location,Fallout 3
boutique_le_chic,Boutique Le Chic,,location,Fallout 3
falls_church,Falls Church,,location,Fallout 3
arlington_metro_station,Arlington Metro Station,,location,Fallout 3
broadcast_tower_kt8,Broadcast Tower KT8,,location,Fallout 3
republic_of_dave_capitol_building,Republic of Dave Capitol Building,,location,Fallout 3
metro_sewer,Metro Sewer,,location,Fallout 3
vernon_east_takoma_park,Vernon East Takoma Park,,location,Fallout 3
wkml_broadcast_station,WKML Broadcast Station,,location,Fallout 3
foggy_bottom_station,Foggy Bottom Station,,location,Fallout 3
repconn_test_site,REPCONN Test Site,,location,Fallout New Vegas
gun_runners_location,Gun Runners (Location),,location,Fallout New Vegas
mick_and_ralph_s,Mick & Ralph's,,location,Fallout New Vegas
sloan,Sloan,,location,Fallout New Vegas
the_thorn,The Thorn (Fallout: New Vegas),,location,Fallout New Vegas
old_mormon_fort,Old Mormon Fort,,location,Fallout New Vegas
quarry_junction,Quarry Junction,,location,Fallout New Vegas
bison_steve_hotel,Bison Steve Hotel,,location,Fallout New Vegas
gibson_scrap_yard,Gibson Scrap Yard,,location,Fallout New Vegas
red_rock_canyon,Red Rock Canyon,,location,Fallout New Vegas
north_vegas_square,North Vegas Square,,location,Fallout New Vegas
crashed_b_29,Crashed B-29,,location,Fallout New Vegas
jacobstown_lodge,Jacobstown Lodge,,location,Fallout New Vegas
vikki_and_vance_casino,Vikki and Vance Casino,,location,Fallout New Vegas
prospector_saloon,Prospector Saloon,,location,Fallout New Vegas
aerotech_office_park,Aerotech Office Park,,location,Fallout New Vegas
searchlight_fire_station,Searchlight Fire Station,,location,Fallout New Vegas
boulder_city_memorial,Boulder City Memorial,,location,Fallout New Vegas
securitron_vault,Securitron Vault,,location,Fallout New Vegas
bitter_springs,Bitter Springs,,location,Fallout New Vegas
camp_golf,Camp Golf,,location,Fallout New Vegas
dino_dee_lite_motel,Dino Dee-lite Motel,,location,Fallout New Vegas
goodsprings_home,Goodsprings Home,,location,Fallout New Vegas
new_vegas_medical_clinic,New Vegas Medical Clinic,,location,Fallout New Vegas
h_and_h_tools_factory,H&H Tools Factory,,location,Fallout New Vegas
ncr_ranger_safehouse,NCR Ranger Safehouse,,location,Fallout New Vegas
mojave_outpost_headquarters,Mojave Outpost Headquarters,,location,Fallout New Vegas
ranger_station_foxtrot,Ranger Station Foxtrot,,location,Fallout New Vegas
the_strip_north_gate,The Strip North Gate,,location,Fallout New Vegas
hoover_dam_offices,Hoover Dam Offices,,location,Fallout New Vegas
followers_safehouse,Followers Safehouse,,location,Fallout New Vegas
las_vegas_boulevard_station,Las Vegas Boulevard Station,,location,Fallout New Vegas
doc_mitchell_s_house,Doc Mitchell's House,,location,Fallout New Vegas
camp_guardian_caves,Camp Guardian Caves,,location,Fallout New Vegas
