stable_identity,defining_plugin,local_formid,runtime_formid,winning_plugin,editor_id,display_name,race,creature_type,sex,model,voice_type,template,placed_references,leveled_references,dialogue_references,total_references,deleted,initially_disabled,classification,classification_reason,profile_id
FalloutNV.esm|0001CF80,FalloutNV.esm,0001CF80,0001CF80,FalloutNV.esm,CrAnt2Soldier,Giant Soldier Ant,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,3,0,14,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_soldier_ant
FalloutNV.esm|0001CF81,FalloutNV.esm,0001CF81,0001CF81,TaleOfTwoWastelands.esm,CrAnt1Worker,Giant Worker Ant,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,3,0,27,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_worker_ant
FalloutNV.esm|0001CF83,FalloutNV.esm,0001CF83,0001CF83,TaleOfTwoWastelands.esm,CrMirelurk1,Mirelurk,,,unknown,Creatures\Mirelurk\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,2,0,24,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,mirelurk
FalloutNV.esm|0001CF84,FalloutNV.esm,0001CF84,0001CF84,TaleOfTwoWastelands.esm,CrMirelurk2,Mirelurk Hunter,,,unknown,Creatures\Mirelurk\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrMirelurk1 [CREA:0001CF83],0,3,0,6,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,mirelurk_hunter
FalloutNV.esm|0001CF87,FalloutNV.esm,0001CF87,0001CF87,Fallout3.esm,CrDogRaider,Raider Guard Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrDogViciousDC [CREA:0601CFA3],0,0,0,16,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|0001CF89,FalloutNV.esm,0001CF89,0001CF89,TaleOfTwoWastelands.esm,CrRobobrain,Robobrain,,,unknown,Creatures\Robobrain\skeleton.nif,RobotRoboBrain [VTYP:00019FDE],,0,2,0,16,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF8A,FalloutNV.esm,0001CF8A,0001CF8A,TaleOfTwoWastelands.esm,CrSentryBotGL,Sentry Bot,,,unknown,Creatures\SentryBot\Skeleton.nif,RobotSentryBot [VTYP:00019FDB],,0,1,0,17,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF8B,FalloutNV.esm,0001CF8B,0001CF8B,FalloutNV.esm,CrProtectronEnclave,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectron [VTYP:00019FDA],CrProtectron [CREA:0001CF8F],0,1,0,1,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF8D,FalloutNV.esm,0001CF8D,0001CF8D,FalloutNV.esm,CrProtectronOutcast,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectron [VTYP:00019FDA],CrProtectron [CREA:0001CF8F],0,1,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF8E,FalloutNV.esm,0001CF8E,0001CF8E,TaleOfTwoWastelands.esm,CrProtectronSteel,Brotherhood Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectronDC [VTYP:06019FDA],CrProtectronDC [CREA:0601CF8F],0,1,0,1,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF8F,FalloutNV.esm,0001CF8F,0001CF8F,TaleOfTwoWastelands.esm,CrProtectron,Protectron,,,unknown,Creatures\Protectron\skeleton.nif,RobotProtectron [VTYP:00019FDA],,0,2,2,28,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001CF90,FalloutNV.esm,0001CF90,0001CF90,TaleOfTwoWastelands.esm,CrCentaur,Centaur,,,unknown,Creatures\Centaur\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,1,0,8,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,centaur
FalloutNV.esm|0001CF93,FalloutNV.esm,0001CF93,0001CF93,TaleOfTwoWastelands.esm,CrSuperMutant1GunA,Super Mutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],,0,2,0,21,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0001CF95,FalloutNV.esm,0001CF95,0001CF95,TaleOfTwoWastelands.esm,CrSuperMutantBehemoth,Super Mutant Behemoth,,,unknown,Creatures\SMBehemoth\Skeleton.nif,CreatureSupMutBehemoth [VTYP:00022429],,0,0,0,13,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|0001CF9A,FalloutNV.esm,0001CF9A,0001CF9A,TaleOfTwoWastelands.esm,CrDeathClaw,Deathclaw,,,unknown,Creatures\DeathClaw\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,6,0,79,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,deathclaw
FalloutNV.esm|0001CF9C,FalloutNV.esm,0001CF9C,0001CF9C,YUPTTW.esm,CrDog,Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,6,52,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,dog
FalloutNV.esm|0001CF9D,FalloutNV.esm,0001CF9D,0001CF9D,FalloutNV.esm,CrRadscorpion1Small,Radscorpion,,,unknown,Creatures\Radscorpion\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,12,0,24,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radscorpion
FalloutNV.esm|0001CF9E,FalloutNV.esm,0001CF9E,0001CF9E,FalloutNV.esm,CrRadscorpion2Large,Giant Radscorpion,,,unknown,Creatures\Radscorpion\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadscorpion1Small [CREA:0001CF9D],0,12,0,14,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_radscorpion
FalloutNV.esm|0001CF9F,FalloutNV.esm,0001CF9F,0001CF9F,TaleOfTwoWastelands.esm,CrMoleRat,Mole Rat,,,unknown,Creatures\MoleRat\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,14,0,117,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,mole_rat
FalloutNV.esm|0001CFA2,FalloutNV.esm,0001CFA2,0001CFA2,FalloutNV.esm,CrBrahmin,Brahmin,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,55,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,brahmin
FalloutNV.esm|0001CFA3,FalloutNV.esm,0001CFA3,0001CFA3,TaleOfTwoWastelands.esm,CrDogVicious,Vicious Dog,,,unknown,Creatures\Dog\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,6,0,27,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,vicious_dog
FalloutNV.esm|0001D3CD,FalloutNV.esm,0001D3CD,0001D3CD,TaleOfTwoWastelands.esm,DeadBrahmin,Rotting Brahmin Corpse,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahmin [CREA:0001CFA2],0,0,0,57,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|0001E746,FalloutNV.esm,0001E746,0001E746,TaleOfTwoWastelands.esm,RCMisterBuckingham,Mister Buckingham,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterHandyDC [VTYP:06019FDC],CrMisterHandyDC [CREA:0602977A],0,0,64,70,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001E747,FalloutNV.esm,0001E747,0001E747,Fallout3.esm,RCPrivateJones,Private Jones,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsyDC [VTYP:06019FDD],CrMisterGutsyDC [CREA:06021EBD],0,0,25,26,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001E821,FalloutNV.esm,0001E821,0001E821,TaleOfTwoWastelands.esm,AudioTemplateTurretCeiling,AudioTemplateTurretCeiling,,,unknown,,,,0,0,0,97,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0001EFE3,FalloutNV.esm,0001EFE3,0001EFE3,TaleOfTwoWastelands.esm,FriendshipMetroMetroRoach,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroachDC [CREA:0601CF7C],0,0,0,5,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|0001FB34,FalloutNV.esm,0001FB34,0001FB34,FalloutNV.esm,DemoAnt1,Giant Ant,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrAnt1Worker [CREA:0001CF81],0,0,0,1,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|0001FEC8,FalloutNV.esm,0001FEC8,0001FEC8,TaleOfTwoWastelands.esm,SniperShackRadroach01,Fluffy,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroach [CREA:0001CF7C],0,0,0,2,false,false,exclude_unused,A maintained named biography already exists; do not duplicate it.,
FalloutNV.esm|0001FEC9,FalloutNV.esm,0001FEC9,0001FEC9,TaleOfTwoWastelands.esm,SniperShackRadroach02,Jitters,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroach [CREA:0001CF7C],0,0,0,2,false,false,exclude_unused,A maintained named biography already exists; do not duplicate it.,
FalloutNV.esm|0001FF5F,FalloutNV.esm,0001FF5F,0001FF5F,FalloutNV.esm,AudioTemplateSuperMutant,AudioTemplateSuperMutant,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureSuperMutant [VTYP:00019FD9],,0,0,0,167,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00020456,FalloutNV.esm,00020456,00020456,TaleOfTwoWastelands.esm,CG02Andy,Andy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterHandyDC [VTYP:06019FDC],CrMisterHandyDC [CREA:0602977A],0,0,4,5,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00020AF7,FalloutNV.esm,00020AF7,00020AF7,TaleOfTwoWastelands.esm,FriendshipMetroRoach02,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroachDC [CREA:0601CF7C],0,0,0,4,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|0002131F,FalloutNV.esm,0002131F,0002131F,Fallout3.esm,Sawbones,Sawbones,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsyDC [VTYP:06019FDD],CrMisterGutsySteelDC [CREA:06021EC1],0,0,76,93,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00021EBD,FalloutNV.esm,00021EBD,00021EBD,TaleOfTwoWastelands.esm,CrMisterGutsy,Mister Gutsy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsy [VTYP:00019FDD],,0,12,0,24,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00021EBE,FalloutNV.esm,00021EBE,00021EBE,FalloutNV.esm,CrMisterGutsyEnclave,Mister Gutsy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsy [VTYP:00019FDD],CrMisterGutsy [CREA:00021EBD],0,0,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00021EC0,FalloutNV.esm,00021EC0,00021EC0,FalloutNV.esm,CrMisterGutsyOutcast,Mister Gutsy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsy [VTYP:00019FDD],CrMisterGutsy [CREA:00021EBD],0,0,0,2,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00021EC1,FalloutNV.esm,00021EC1,00021EC1,FalloutNV.esm,CrMisterGutsySteel,Mister Gutsy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterGutsy [VTYP:00019FDD],CrMisterGutsy [CREA:00021EBD],0,1,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00024103,FalloutNV.esm,00024103,00024103,FalloutNV.esm,AudioTemplateSuperMutantBehemoth,AudioTemplateSuperMutantBehemoth,,,unknown,Creatures\SMBehemoth\Skeleton.nif,CreatureSupMutBehemoth [VTYP:00022429],,0,0,0,14,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|000251A2,FalloutNV.esm,000251A2,000251A2,FalloutNV.esm,LvlTurret1024,,,,unknown,,,EncTurret [LVLC:0007D40F],0,0,0,3,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000251A4,FalloutNV.esm,000251A4,000251A4,FalloutNV.esm,LvlTurretCeiling768,,,,unknown,,,EncTurretCeiling [LVLC:000A8A5D],0,0,0,4,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000251AA,FalloutNV.esm,000251AA,000251AA,FalloutNV.esm,LvlTurretCeiling1024,,,,unknown,,,EncTurretCeiling [LVLC:000A8A5D],0,0,0,22,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000251B0,FalloutNV.esm,000251B0,000251B0,FalloutNV.esm,LvlTurretCeiling384Raider,,,,unknown,marker_creature.nif,,LvlTurretCeiling384 [CREA:000A8A5C],0,0,0,1,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|000251B2,FalloutNV.esm,000251B2,000251B2,FalloutNV.esm,LvlTurretCeiling1024Raider,,,,unknown,marker_creature.nif,,LvlTurretCeiling1024 [CREA:000251AA],0,0,0,6,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|00025DC5,FalloutNV.esm,00025DC5,00025DC5,Fallout3.esm,FFEU05Radscorpion,Giant Radscorpion,,,unknown,Creatures\Radscorpion\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadscorpion2LargeDC [CREA:0601CF9E],0,0,3,10,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_radscorpion
FalloutNV.esm|00026135,FalloutNV.esm,00026135,00026135,TaleOfTwoWastelands.esm,DemoDeadAnt1,Giant Ant,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrAnt1Worker [CREA:0001CF81],0,0,0,4,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027053,FalloutNV.esm,00027053,00027053,TaleOfTwoWastelands.esm,AudioTemplateAnt,AudioTemplateAnt,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,51,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027DE5,FalloutNV.esm,00027DE5,00027DE5,TaleOfTwoWastelands.esm,CaravanWolfgangBrahmin,Wolfgang's Pack Brahmin,,,unknown,Creatures\BrahminDC\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahminDC [CREA:0601CFA2],0,0,0,3,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027DE7,FalloutNV.esm,00027DE7,00027DE7,TaleOfTwoWastelands.esm,CaravanHarithBrahmin,Harith's Pack Brahmin,,,unknown,Creatures\BrahminDC\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahminDC [CREA:0601CFA2],0,0,0,3,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027DEB,FalloutNV.esm,00027DEB,00027DEB,TaleOfTwoWastelands.esm,CaravanCrowBrahmin,Crow's Pack Brahmin,,,unknown,Creatures\BrahminDC\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahminDC [CREA:0601CFA2],0,0,0,3,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027DED,FalloutNV.esm,00027DED,00027DED,TaleOfTwoWastelands.esm,CaravanHoffBrahmin,Hoff's Pack Brahmin,,,unknown,Creatures\BrahminDC\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrBrahminDC [CREA:0601CFA2],0,0,0,3,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00027FB2,FalloutNV.esm,00027FB2,00027FB2,TaleOfTwoWastelands.esm,CrSuperMutant3MinigunA,Super Mutant Master,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],,0,6,0,4,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00027FB3,FalloutNV.esm,00027FB3,00027FB3,TaleOfTwoWastelands.esm,CrSuperMutant2GunA,Super Mutant Brute,,,unknown,Creatures\SMSpineBreaker\Skeleton.nif,CreatureLowIntSM [VTYP:0014377C],,0,2,0,9,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00028047,FalloutNV.esm,00028047,00028047,TaleOfTwoWastelands.esm,AudioTemplateBrahmin,AudioTemplateBrahmin,,,unknown,Creatures\Brahmin\Skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],,0,0,0,41,false,false,exclude_unused,"Template, corpse, test, cut, or non-reachable archetype record without a distinct new roleplay profile.",
FalloutNV.esm|00028FED,FalloutNV.esm,00028FED,00028FED,TaleOfTwoWastelands.esm,EvergreenMillsBehemoth,Super Mutant Behemoth,,,unknown,Creatures\SMBehemoth\Skeleton.nif,CreatureSupMutBehemoth [VTYP:00022429],CrSuperMutantBehemoth [CREA:0001CF95],0,0,0,2,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00029035,FalloutNV.esm,00029035,00029035,Fallout3.esm,EvergreenSuperMutantGladiator,Super Mutant,,,unknown,,,VarSupermutant1MeleeDC [LVLC:06094ED0],0,0,0,1,false,false,exclude_talking,Conversational humanoid or intelligible speaking creature.,
FalloutNV.esm|00029036,FalloutNV.esm,00029036,00029036,FalloutNV.esm,EvergreenAntSoldierGladiator,Giant Soldier Ant,,,unknown,Creatures\GiantAnt\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrAnt1Worker [CREA:0001CF81],0,0,0,1,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,giant_soldier_ant
FalloutNV.esm|000296C5,FalloutNV.esm,000296C5,000296C5,Fallout3.esm,TLHendersonRobot,Mr. Handy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterHandyDC [VTYP:06019FDC],CrMisterHandyDC [CREA:0602977A],0,0,6,7,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0002977A,FalloutNV.esm,0002977A,0002977A,FalloutNV.esm,CrMisterHandy,Mister Handy,,,unknown,Creatures\MisterGutsy\Skeleton.nif,RobotMisterHandy [VTYP:00019FDC],,0,0,0,11,false,false,exclude_not_actor,Robot or automated turret reserved for the robot pass.,
FalloutNV.esm|0002A171,FalloutNV.esm,0002A171,0002A171,Fallout3.esm,CG04ButchRadroach,Radroach,,,unknown,Creatures\Radroach\skeleton.nif,VoiceDoNotRecordF [VTYP:00094EED],CrRadroachDC [CREA:0601CF7C],0,0,0,8,false,false,include_nonverbal,Reachable official non-verbal creature mapped to a reviewed archetype.,radroach
FalloutNV.esm|0002B8E5,FalloutNV.esm,0002B8E5,0002B8E5,Fallout3.esm,UnderworldEthyl,Ethyl,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoulDC [VTYP:0607AE96],CrFeralGhoulGlowingOneDC [CREA:0601CF7B],0,0,0,1,false,false,exclude_unused,A maintained named biography already exists; do not duplicate it.,
FalloutNV.esm|0002B8E7,FalloutNV.esm,0002B8E7,0002B8E7,Fallout3.esm,UnderworldMeat,Meat,,,unknown,Creatures\Ghoul\Skeleton.nif,CreatureFeralGhoulDC [VTYP:0607AE96],CrFeralGhoulGlowingOneDC [CREA:0601CF7B],0,0,0,1,false,false,exclude_unused,A maintained named biography already exists; do not duplicate it.,
