npc_name,worldknowledge_tags
gunderson_hired_hand,"domain:firearms,person:gunderson_hired_hand,race:human,role:soldier"
hadrian,"person:hadrian,race:ghoul"
hannigan,"domain:medicine,domain:survival,domain:trade,faction:ncr,faction:powder_gangers,person:hannigan,race:human,region:mojave,role:doctor,role:medic,role:survivalist"
harland,"domain:survival,person:harland,race:ghoul,role:survivalist"
harry,"faction:ncr,person:harry,race:human,region:mojave"
hawkins,"domain:survival,faction:powder_gangers,person:hawkins,race:human,region:mojave,role:survivalist"
head_paladin_hardin,"community:hidden_valley,domain:military,person:head_paladin_hardin,place:hidden_valley,race:human,region:mojave,role:leader,role:military"
head_scribe_lars_taggart,"community:hidden_valley,domain:survival,faction:brotherhood_of_steel,person:head_scribe_lars_taggart,place:hidden_valley,race:human,region:mojave,role:scientist,role:survivalist"
head_waiter,"faction:white_glove_society,person:head_waiter,race:human,region:mojave"
heck_gunderson,"domain:politics,person:heck_gunderson,race:human"
hector,"community:westside,person:hector,place:westside,race:human,region:mojave,role:courier"
henry_jamison,"community:new_vegas,person:henry_jamison,place:new_vegas,race:human,region:mojave,role:caravaner"
hooker,"community:new_vegas,person:hooker,place:new_vegas,race:human,region:mojave"
horowitz,"domain:survival,person:horowitz,race:human,role:leader,role:survivalist"
hughes,"community:hidden_valley,faction:brotherhood_of_steel,person:hughes,place:hidden_valley,race:human,region:mojave"
ignacio_rivas,"domain:technology,faction:followers_of_the_apocalypse,person:ignacio_rivas,race:human,region:mojave,role:scientist"
ike,"community:hoover_dam,person:ike,place:hoover_dam,race:human,region:mojave"
initiate__fnv_category_fallout_new_vegas_human_characters,"community:hidden_valley,domain:energy_weapons,domain:firearms,faction:brotherhood_of_steel,person:initiate,place:hidden_valley,region:mojave"
initiate_stanton,"community:hidden_valley,domain:energy_weapons,faction:brotherhood_of_steel,person:initiate_stanton,place:hidden_valley,race:human,region:mojave"
injured_trooper,"domain:military,faction:ncr,person:injured_trooper,race:human,region:mojave,role:military,role:soldier"
irate_ida,"community:freeside,person:irate_ida,place:freeside,race:human,region:mojave"
