topic,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
cyberdog,,,"Cyberdogs, also spelled cyber dogs, are cybernetically enhanced canines found in Big MT and the Mojave Wasteland, with Antony noting they are an uncommon sight in Denver as well. Notable individual cyberdogs include Rex, who is associated with the King in Freeside, Gabe, and Roxie, a Police Cyberdog created at the X-8 Research Center in Big MT by splicing a robot and a dog together. Despite their mechanical components, cyberdogs are generally considered animals rather than robots. Variants include standard, Police, and Military cyberdogs, with Police and Military variants appearing in Big MT.",,,creature
gecko,,,"Geckos are mutated animals found throughout the Mojave Wasteland, commonly encountered in small packs in areas such as around Goodsprings, along the I-15 toward Primm, and near the Mojave Outpost. Several varieties exist, including the common green gecko, the golden gecko, and the fire gecko, the latter of which is believed to originate from Fire Root Cavern and is capable of breathing fire. A separate population of green geckos is also found in Zion Canyon. Fire geckos are generally hostile to travelers, while other varieties are less aggressive.",,,creature
ghost_people,,,"Ghost People are mutated inhabitants of the Sierra Madre, transformed by prolonged exposure to the Cloud, a corrosive toxin created at Big MT. They originated as construction workers who were issued bulky hazmat suits to protect against the airborne poison, but the suits' locking mechanisms corroded on contact with the Cloud, trapping the workers inside as the gas slowly changed them. They are the only beings able to move freely through the Cloud, and they gather in hordes beneath the Sierra Madre's streets, hunting in areas thick with the toxic haze such as Salida and Puesta del Sol. Dean Domino questions whether they can even be considered alive, and they are known to carry pressurized gas within their bodies.",,,creature
giant_mantis,,,"Giant mantises are mutated insects found in the Mojave Wasteland and Zion Canyon, originally created by horticultural experiments in Vault 22. They attack by jumping and slicing targets with their forelegs, and can become frenzied if their antennae are damaged. They are commonly encountered near Jacobstown and Spring Mt. Ranch State Park, as well as inside Vault 22 itself.",,,creature
lakelurk,,,"Lakelurks are mutated aquatic creatures native to the Mojave Wasteland, commonly found around Lake Mead and other watery areas. They are fiercely territorial and aggressive, attacking nearly anything that approaches them or their nests. They typically travel in small groups of two to three, though larger gatherings of five to eight are not uncommon. Lakelurks use sonic pulse shrieks to stun prey from a distance before closing in to tear victims apart with their claws.",,,creature
lobotomite,,,"Lobotomites are surgically-altered and cybernetically-enhanced humans found at Big MT. Their brains, hearts, and spines were removed and replaced with cybernetics by an Auto-Doc programmed by Doctor Mobius, under the supervision of Doctor Dala. The procedure left them mentally impaired, mute, and hostile to non-Lobotomites. The Think Tank uses them for clean-up duties and experiments.",,,creature
marked_men,,,"Marked Men are mutated survivors of NCR and Legion forces trapped in the Divide, scarred by radiation and storms. They wear patched armor and carry weapons forged from Divide metal, including helmets inspired by Legate Lanius. Rumors of them spread across the West Coast wasteland.",,,creature
mongrel,,,"Mongrels are aggressive canine creatures found in the Mojave Wasteland and surrounding regions. Caesar's Legion keeps Mongrels tended by their Houndmasters, with the current mother of the Fort's pack being a female named Lupa. According to Antony, some of these Mongrels fight in the area and generally do not welcome visitors. White Legs Mongrels are also found throughout Zion Canyon, accompanying members of the White Legs tribe.",,,creature
nightstalker,,,"Nightstalkers are genetic hybrids of coyote and rattlesnake DNA created by Dr. Borous at Big MT before the Great War. They escaped into the Mojave Wasteland and beyond after the bombs fell, hunting in nocturnal packs and nesting in caves. Their bodies combine fur and scales, with dog-like forms, rattlesnake heads and tails, and mismatched eyes.",,,creature
raven,,,"Ravens are small birds found throughout the Mojave Wasteland, commonly gathering near dead or crucified bodies at sites like Nipton and other Legion-raided locations. They tend to be more prevalent around civilized areas and settlements, becoming scarcer the further one travels from towns. Ravens are harmless creatures that will fly away if approached too closely and will never attack even if harmed. They are often seen in pairs along highways and may gather in places such as Goodsprings Cemetery, the Boulder City Ruins, and near the entrance to Primm.",,,creature
"securitron,RobCo security model 2060-B",,,"The PDQ-88b Securitron, also known as the RobCo security model 2060-B, is a security robot created by RobCo Industries and the H&H Tools Factory and charged with protecting the New Vegas Strip. A standard unit is armed with a Gatling laser and a 9mm submachine gun, while the upgraded Mk II operating system enables shoulder-mounted missile launchers, a grenade launching system, and an auto-repair capability that raises combat effectiveness by roughly 235%. Securitrons display a face on a monitor screen and can dispense printed material such as obituaries. Several units were acquired by Big MT for reverse engineering, leading Doctor 0 to create the miniature variant Muggy and to develop a Mk VI operating system, though many Big MT units became berserk and hostile.",,,creature
spore_carrier,,,"Spore carriers are reanimated human corpses colonized by the mutated fungus Beauveria mordicana, originally developed for pest control in Vault 22. The fungus became airborne and spread through the Vault, killing inhabitants within ten to twenty days before reanimating their bodies. Survivors of the Vault 22 outbreak fled to Zion Canyon in 2096, where many succumbed to the infection. Spore carriers can also be found in the X-22 Botanical Garden at Big MT, the original source of the fungus, including a unique specimen known as Patient Zero.",,,creature
tunneler,,,"Tunnelers are subterranean predators that emerged when nuclear explosions created The Divide, allowing them to hunt prey on the surface. They reproduce quickly, hunt in large groups, are capable of killing other predators such as Deathclaws, and may even pose a threat to the Mojave Wasteland in the future. The bite of Venomous Tunnelers can be just as lethal as a sting from a Bark Scorpion. As for their origin, Ulysses suspects that they have been around for a long time, and that Radiation might have had an effect on them.",,,creature
alaskan_reclamation_operation,,,"The Alaskan Reclamation Operation was a pre-War military campaign launched by the United States Armed Forces in response to the Chinese invasion of Alaska in 2066. Commanded by General Constantine Chase, the operation saw American forces deploy airships, T-45 power armor units, and deathclaws against Chinese troops. The campaign lasted until January 2077, concluding with the Battle of Anchorage and the full liberation of Alaska. The operation is remembered as one of the most significant conflicts of the Sino-American War.",,,event
automation_riots,,,"The Automation Riots were a series of conflicts across the pre-War United States sparked by massive unemployment as advanced robotic systems replaced human workers during the Resource Wars. Labor-intensive jobs in mining and factory work were hit hardest, with cities like Watoga becoming fully automated and workers facing homelessness as early as 2061. The unrest peaked in October 2077 when disenfranchised miners and workers organized roadblocks and strikes across Appalachia, only to face lethal force from Hornwright-funded Strikebreaker robots and National Guard units deploying HalluciGen riot gas. The riots spread from Welch to Beckley, Charleston, Mount Blair, Pittsburgh, and Los Angeles, with miners even seizing the Rockhound excavator on Mount Blair for eight days before combat robots eliminated them.",,,event
"battle_of_anchorage,Liberation of Anchorage,Anchorage Campaign,Anchorage Reclamation",,,"The Battle of Anchorage, also known as the Liberation of Anchorage, the Anchorage Campaign, and the Anchorage Reclamation, was a major military conflict of the Resource Wars fought between the United States and China. It began when Chinese forces invaded Alaska in the winter of 2066, threatening the Alaskan Pipeline. Under the leadership of General Constantine Chase, the U.S. Army deployed the newly introduced T-51 series power armor and ultimately liberated Anchorage after ten years of fighting.",,,event
brotherhood_civil_war,,,"A Brotherhood Civil War refers to internal conflicts within the Brotherhood of Steel, whether between factions within a single chapter or across multiple chapters. In the Capital Wasteland, a schism formed when Elder Lyons redirected his chapter toward helping local citizens, prompting Paladin Henry Casdin to lead a breakaway faction called the Outcasts away from the Citadel, with hostility between the two groups escalating into violence. A second civil war erupted in 2296 when Elder Cleric Quintus of the Knights of San Fernando sought to use a Cold Fusion Diode to rally other chapters against the Commonwealth Chapter, a conflict further complicated by the arrival of Paladin Xander Harkness and the theft of the diode by Scribe Dane.",,,event
"ncr_brotherhood_war,Brotherhood War",,,"The Brotherhood War is a major conflict between the Brotherhood of Steel and the New California Republic, rooted in their disagreement over how technology should be controlled. The conflict spans the former American Southwest and the Mojave Wasteland, with NCR commanders such as Colonel Cassandra Moore having completed multiple tours against the Brotherhood. In 2275, fighting broke out in the Mojave between the NCR and the local Brotherhood chapter, extending to attacks on several Brotherhood bunkers across the region. The following year, the NCR launched Operation Sunburst, attacking and occupying the Brotherhood's fortifications at HELIOS One, where Elder Elijah had refused to retreat despite the location being indefensible.",,,event
"brotherhood_exodus,Exodus",,,"The Exodus was the post-War journey in which Captain Roger Maxson led the surviving United States Army soldiers and their families away from Mariposa Military Base on October 27, 2077, toward the Lost Hills bunker. The caravan was repeatedly attacked by marauders throughout the trek, and while the soldiers' Power Armor protected them, the unprotected civilians and families suffered high casualties, including Maxson's own wife. A group of soldiers broke off and headed south, never to be heard from again, while a separatist faction led by D. Allen split from the main body against Maxson's wishes and set out for the Glow in hopes of recovering technology stored there.",,,event
food_riots,,,"The food riots were incidents of civil unrest and protests that swept across the United States in response to dwindling food supplies and government rationing. The White House dismissed the protesters, with officials claiming the president himself was suffering by substituting cube steak for prime rib and drinking what they called the detestable Chateau Montrose 2043 wine. In Roxbury, Boston, tensions turned deadly when a hungry crowd stormed a food bank and the soldiers guarding it opened fire on the unarmed civilians, killing four and injuring eight. Witnesses reported that the soldiers appeared to be picking out targets in advance and laughing as they did so.",,,event
formation_of_the_brotherhood_of_steel,,,"The Formation of the Brotherhood of Steel occurred at Lost Hills when Roger Maxson officially established the organization over radio contact with Elizabeth Taggerdy of Taggerdy's Thunder in Appalachia. Maxson promised to build something new to reclaim what was lost, modeling the group's mission of preserving knowledge after the knights and scribes following the fall of Rome. Taggerdy and her soldiers were confused by the Brotherhood of Steel name but adopted it anyway. The event is remembered as the founding moment of one of the post-War era's most recognized organizations.",,,event
glow_expedition,,,"The Glow Expedition was a post-War event in which a faction of Brotherhood of Steel defectors led by Allen attempted to explore the West Tek research facility, also known as the Glow. Allen's group, including Soto, Jensen, and Camarillo, had split from the main Exodus from Mariposa Military Base to Lost Hills, taking weapons and technology with them. After twenty days of travel, they reached the irradiated crater and descended into the facility, believing their power armor and Rad-X supplies would protect them. They explored the first two levels without incident, but functioning security sensors on the third level triggered automated defenses that killed most of the party.",,,event
"great_war,World War III,War of the Century",,,"The Great War was a global nuclear exchange that occurred on Saturday, October 23, 2077, ending the decade-long Sino-American War between the United States and China. Nuclear missiles were detected that morning, and within hours cities across North America were struck, with the entire exchange lasting roughly two hours and resulting in the deaths of 7.54 billion people. A relative few survived by reaching underground vaults constructed by the Vault-Tec Corporation, while emergency response efforts collapsed due to electromagnetic pulses disabling communications and widespread desertion amid radiation sickness. Hubologists sometimes refer to the event as the Great Deluge, and it has also been called World War III and the War of the Century.",,,event
invasion_of_alaska,,,"The Invasion of Alaska was a major military conflict that took place as part of the Resource Wars, beginning in the winter of 2066 when China launched a massive assault on American soil in pursuit of Alaska's oil reserves and control of the Alaskan Pipeline. The attack caught American forces off guard despite early warnings, with the scale of the Chinese landing being described as unprecedented. Chinese forces quickly executed a two-pronged assault, targeting both the city of Anchorage and the strategically important Artillery Overlook positioned above it. American soldiers under Captain Zachary Lloyd held the overlook for several hours under heavy bombardment while civilian contractors evacuated, though Anchorage ultimately fell to the Chinese.",,,event
mariposa_mutiny,,,"The Mariposa Mutiny was an armed uprising in October 2077 at the Mariposa Military Base, led by Captain Roger Maxson and the base security detail after they discovered the nature of the Forced Evolutionary Virus experiments being conducted on human subjects. Colonel Robert Spindel, the nominal commander, suffered a nervous breakdown and committed suicide on October 15, leaving Maxson in permanent command. Maxson interrogated and murdered the research scientists, including chief researcher Robert Anderson and Erin Shellman, who held out the longest. On October 20, 2077, Maxson declared his unit in full secession from the United States, but no government response came, though news of the mutiny spread through the wider United States Army.",,,event
navarro_conflict,,,"The Navarro Conflict was a post-War military engagement between the Enclave and the New California Republic. After the destruction of Control Station ENCLAVE, the Enclave's command structure dissolved, allowing the NCR to take over Navarro, killing everyone who could not escape. The NCR justified the act by stating the Enclave was a threat to the region. Survivors who fled attempted to integrate into the NCR, while an Enclave contingent at Raven Rock remained unaware of the fall of Navarro.",,,event
resource_wars,,,"The Resource Wars were a series of global conflicts triggered by an unsustainable economy dependent on finite resources such as petroleum and uranium. Major engagements included the Chinese invasion of Anchorage, Alaska, the annexation of Canada by the United States, and fighting between European powers in the Middle East. The Sino-American War, spanning from 2066 to 2077, saw the United States deploy T-51 Power Armor to the Chinese mainland after reclaiming Anchorage, only for the front to settle into a stalemate with no clear victor. These conflicts were ultimately rendered moot by the Great War on October 23, 2077, when a nuclear exchange between the United States and China killed billions and ended the decade-long struggle.",,,event
"brotherhood_schism,Schism",,,"The Schism was a conflict within the Brotherhood of Steel chapter stationed in the Capital Wasteland, arising from Elder Owyn Lyons' decision to redirect the chapter's efforts toward aiding the region's inhabitants rather than pursuing the Brotherhood's traditional mission of technology recovery. A faction of members who viewed this as a betrayal of their core purpose broke away under the leadership of Paladin Henry Casdin, abandoning the Citadel and adopting the name Brotherhood Outcasts. Tensions between the two groups steadily escalated into open violence, with the Outcasts operating independently and regarding Lyons' loyalists as wayward traitors to the Brotherhood's original charter. The division persisted as a defining feature of the Capital Wasteland's Brotherhood chapter, with both sides maintaining hostile relations toward one another.",,,event
sino_american_war,,,"The Sino-American War was a major conflict between the United States and China that lasted from 2066 to 2077, driven by the depletion of global oil reserves. It began when Chinese forces under General Jingwei invaded Alaska to secure the last remaining oil supplies, prompting the United States to launch the Alaskan Reclamation Operation led by General Constantine Chase. During the war, the United States annexed Canada to secure a route to Alaska and commissioned the Pan-Immunity Virion Project, which later became the Forced Evolutionary Virus, to counter biological weapons. The conflict ultimately culminated in the Great War on October 23, 2077, when nuclear missiles were launched, rendering the preceding battles moot.",,,event
"united_states_annexation_of_canada,Little America",,,"The United States Annexation of Canada, sometimes referred to as the creation of ""Little America,"" occurred prior to the Great War due to the United States' desperate need for Canadian natural resources during the Resource Wars. Tensions began after the Chinese invasion of Anchorage in 2066, when Canadian officials opposed American troops moving through their territory. An attempt to sabotage the Alaskan pipeline finally prompted the U.S. military to announce a complete takeover of all Canadian assets and resources on June 3, 2072.",,,event
unity_conflict,,,The Unity Conflict is a post-War event mentioned in Fallout. It is referenced as part of the broader historical background of the wasteland. Little detail is provided beyond its classification as a significant conflict that occurred after the Great War. The Unity Conflict appears in Fallout.,,,event
battle_of_arizona_spillway,,,"The Battle of Arizona Spillway was a military engagement between Caesar's Legion and the New California Republic, fought at the Arizona Spillway following the Battle of Willow Beach. It formed part of a broader Legion campaign to drive NCR forces from the eastern bank of the Colorado River. The battle resulted in a victory for Caesar's Legion, further weakening the NCR's hold on the region's eastern approaches and contributing to the ongoing tension along the river frontier.",,,event
battle_of_nelson,,,"The Battle of Nelson was a military conflict in the Mojave Wasteland in which Caesar's Legion seized the town of Nelson from the New California Republic. General Lee Oliver had occupied Nelson to secure a vulnerable stretch of the Colorado River between Camp Forlorn Hope and Camp Searchlight, but the base had barely enough time to establish proper defenses before the attack. Caesar and Vulpes Inculta, likely acting on intelligence from a mole at Camp McCarran, ordered Decanus Dead Sea to lead two contubernia against the under-equipped NCR troopers. Despite being outnumbered two to one, the legionaries swiftly overran the defenses, killed most of the troopers, and hurled the rest into the Colorado River in full view of spotters from Camp Forlorn Hope.",,,event
battle_of_willow_beach,,,"The Battle of Willow Beach was a military conflict between Caesar's Legion and the New California Republic that occurred at Camp Willow following the First Battle of Hoover Dam. This engagement marked the return to open hostilities between the two factions and was the first Legion strike since the initial battle at the dam. Legion forces led the assault in a bid to push the NCR out of the eastern side of the Colorado River, resulting in the destruction of the NCR camp. Along with the subsequent Battle of Arizona Spillway, this clash forced the NCR back across the river and gave the Legion complete control of its eastern side.",,,event
bitter_springs_massacre,,,"The Bitter Springs Massacre occurred in the Mojave Wasteland around 2278, when New California Republic forces attacked a Great Khan encampment they believed to be a raider hideout. The Great Khans had previously harassed and raided NCR settlers, soldiers, and civilians, prompting the operation. NCR First Recon sharpshooters were positioned to cover the canyon's only escape route, but when the main assault was spotted early, fleeing Khan non-combatants including women, children, and the elderly poured into the pass. The sharpshooters radioed for confirmation of their shoot-on-sight orders, but the commanding major froze and a subordinate confirmed the order, leading to the slaughter of the fleeing civilians.",,,event
first_battle_of_hoover_dam,,,"The First Battle of Hoover Dam was Caesar's Legion's assault on New California Republic forces at Hoover Dam in 2277, led on the Legion side by the Malpais Legate, also known as Joshua Graham. NCR forces under Chief Hanlon, including First Recon and NCR Rangers, executed a tactical retreat into Boulder City, where they had laid explosives throughout the town. When the Legion's elite forces pursued them inside, the explosives were detonated, inflicting severe casualties and crippling the offensive, after which General Lee Oliver's troops counter-attacked and routed the Legion's main force. Caesar punished his failed legate by setting Joshua Graham on fire and casting him into the Grand Canyon, while a memorial at Boulder City honors the over one hundred NCR soldiers who lost their lives in the battle.",,,event
mojave_campaign,,,"The Mojave Campaign is a New California Republic military operation launched in 2274 when President Aaron Kimball sent forces to occupy Hoover Dam after scouts discovered it intact the previous year. Upon arrival, NCR troops encountered Mr. House's forces, and negotiations led to a treaty allowing the NCR to occupy the dam and establish a base at McCarran Airport, with 95% of the dam's electricity sent to NCR home states and the remainder to the Strip. The NCR also established an embassy on the Strip.",,,event
